datetime,latitude,longitude
2016-04-05 21:15:28.834000+00:00,6.5718525,3.3669708
2016-04-05 21:25:06.451000+00:00,6.5718535,3.3671
2016-04-05 21:28:45.654000+00:00,6.5736382,3.3689783
2016-04-05 21:33:13.808000+00:00,6.5754026,3.3731725
2016-04-05 21:35:38.893000+00:00,6.5741867,3.3729622
2016-04-06 07:10:14.999000+00:00,6.5739901,3.3731417
2016-04-06 07:14:55.844000+00:00,6.5743485,3.3731711
2016-04-06 07:30:35.119000+00:00,6.5743165,3.3729431
2016-04-06 07:48:13.620000+00:00,6.5744464,3.3728108
2016-04-06 07:49:20.478000+00:00,6.5744415,3.3729023
2016-04-06 07:51:40.059000+00:00,6.5698336,3.3719187
2016-04-06 07:57:39.399000+00:00,6.5654409,3.374281
2016-04-06 08:00:10.001000+00:00,6.5656525,3.374359
2016-04-06 08:02:53.898000+00:00,6.5651175,3.3741567
2016-04-06 08:06:50+00:00,6.5632184,3.376388
2016-04-06 08:15:32.004000+00:00,6.563112,3.3737082
2016-04-06 08:17:51+00:00,6.5630205,3.3731804
2016-04-06 08:23:41.069000+00:00,6.5585292,3.3665115
2016-04-06 08:26:01+00:00,6.5578978,3.3690499
2016-04-06 09:10:10.689000+00:00,6.5523727,3.3785343
2016-04-06 11:10:48.430000+00:00,6.5523785,3.3785386
2016-04-06 11:33:05.432000+00:00,6.5523849,3.3785331
2016-04-06 12:59:16.980000+00:00,6.5620598,3.371388
2016-04-06 13:08:41.387000+00:00,6.5631075,3.3756648
2016-04-06 13:21:20.373000+00:00,6.5676982,3.3764264
2016-04-06 14:00:30.448000+00:00,6.5573408,3.3793149
2016-04-06 14:35:41.711000+00:00,6.5676255,3.3758979
2016-04-06 15:08:50.483000+00:00,6.5718526,3.3726161
2016-04-06 15:40:49+00:00,6.5741049,3.3730002
2016-04-06 16:05:42+00:00,6.5739837,3.3730276
2016-04-06 16:20:50+00:00,6.5739997,3.3729839
2016-04-06 16:38:27+00:00,6.5744131,3.3729209
2016-04-07 02:00:33+00:00,6.5741629,3.3729838
2016-04-07 03:58:38.119000+00:00,6.5780759,3.3740426
2016-04-07 07:07:10.075000+00:00,6.5588553,3.378263
2016-04-07 07:13:17.029000+00:00,6.574273,3.3728344
2016-04-07 08:38:22.291000+00:00,6.5762175,3.3720838
2016-04-07 08:43:37+00:00,6.5741129,3.3729416
2016-04-07 08:49:03.005000+00:00,6.5638255,3.3696852
2016-04-07 08:58:34.078000+00:00,6.5643358,3.3687578
2016-04-07 09:22:17+00:00,6.5741846,3.3728191
2016-04-07 11:17:39+00:00,6.5524605,3.378679
2016-04-07 12:14:37.477000+00:00,6.5620101,3.3894772
2016-04-07 12:17:05.572000+00:00,6.5494947,3.3778806
2016-04-07 12:45:18.288000+00:00,6.5606598,3.3873088
2016-04-07 12:53:49.138000+00:00,6.5532915,3.380507
2016-04-07 13:05:48.136000+00:00,6.5581111,3.3691663
2016-04-07 13:27:21.248000+00:00,6.5739913,3.3730221
